M,B1,Bmean,Bsigma,R1,Rmean,Rsigma
7.8,17.95,-1.52,0.39,0.00,-3.00,1.00
7.9,25.00,-1.48,0.56,0.00,-3.00,1.00
8,33.17,-1.49,0.49,0.00,-3.00,1.00
8.1,41.41,-1.43,0.49,0.00,-3.00,1.00
8.2,45.00,-1.45,0.47,0.00,-3.00,1.00
8.3,52.37,-1.36,0.54,0.00,-3.00,1.00
8.4,75.00,-1.10,0.40,0.00,-3.00,1.00
8.5,100.00,-1.00,0.40,0.00,-3.00,1.00
8.6,120.00,-1.00,0.40,0.00,-3.00,1.00
8.7,140.00,-0.90,0.40,0.00,-3.00,1.00
8.8,150.00,-0.70,0.40,0.00,-3.00,1.00
8.9,170.00,-0.70,0.40,0.00,-3.00,1.00
9,200.00,-0.60,0.40,0.00,-3.00,1.00
9.1,200.00,-0.50,0.30,0.00,-3.00,1.00
9.2,220.00,-0.50,0.30,0.00,-3.00,1.00
9.3,221.05,-0.47,0.24,40.64,-1.02,0.64
9.4,221.19,-0.44,0.25,30.25,-1.12,0.82
9.5,202.76,-0.40,0.27,24.90,-1.34,0.84
9.6,189.57,-0.34,0.28,27.26,-1.39,0.81
9.7,168.12,-0.27,0.29,30.43,-1.50,0.74
9.8,156.44,-0.21,0.30,34.37,-1.65,0.65
9.9,142.41,-0.16,0.31,38.63,-1.68,0.59
10,128.57,-0.09,0.31,39.85,-1.67,0.60
10.1,120.18,-0.02,0.30,42.23,-1.64,0.57
10.2,107.36,0.02,0.31,43.72,-1.59,0.58
10.3,92.88,0.05,0.35,45.57,-1.60,0.55
10.4,80.00,0.07,0.37,50.00,-1.55,0.55
10.5,64.94,0.13,0.40,49.59,-1.50,0.55
10.6,52.40,0.17,0.40,46.36,-1.46,0.53
10.7,42.67,0.22,0.39,45.29,-1.41,0.51
10.8,28.34,0.18,0.45,41.36,-1.39,0.44
10.9,18.46,0.27,0.38,31.21,-1.29,0.50
11,10.56,0.24,0.43,26.28,-1.27,0.47
11.1,5.00,0.26,0.33,19.25,-1.15,0.47
11.2,3.00,0.30,0.35,13.59,-1.09,0.44
