x_3dhst,y_3dhst,sfr_3dhst,phi_3dhst,x_gama,y_gama,sf_gama,phi_gama,y_cosmos,phi_cosmos
147.79,945.76,-2.87531289111389,-1.21152227781749,147.79,,-2.87531289111389,,937.14,-1.72498427448177
167.75,945.98,-2.62550062578223,-1.19841767929473,167.77,873.84,-2.62525031289111,-5.49553466761972,936.09,-1.78752894924946
187.72,944.26,-2.37556320400501,-1.3008718131999,187.77,880.16,-2.37493742177722,-5.11907529187515,935.13,-1.84471265189421
207.68,940.67,-2.12575093867334,-1.51471503454849,207.77,891.81,-2.12462453066333,-4.42512723373839,933.26,-1.95610173933762
227.66,935.18,-1.87568836045056,-1.84173433404813,227.7,901.94,-1.87518773466834,-3.82172003812246,933.64,-1.93346652370741
247.63,933.37,-1.62575093867334,-1.94954944007624,247.68,908.24,-1.62512515644556,-3.44645198951632,933.95,-1.91500095306171
267.66,932.03,-1.37506257822278,-2.0293683583512,267.63,911.57,-1.37543804755945,-3.24809602096735,931.94,-2.03472933047414
287.61,929.8,-1.12537546933667,-2.16220133428639,287.57,912.14,-1.1258760951189,-3.21414319752204,929.15,-2.20091946628544
307.57,926.94,-0.875563204005006,-2.33256111508219,307.57,913.73,-0.875563204005006,-3.11943269001667,927.77,-2.28312103883727
327.59,923.13,-0.625,-2.55950893495353,327.54,916.29,-0.625625782227784,-2.96694281629735,925.92,-2.39331879914224
347.5,924.8,-0.375813516896121,-2.46003311889445,347.57,919.53,-0.374937421777221,-2.77394781987134,923.59,-2.5321084107696
367.5,921.79,-0.125500625782228,-2.63932785322849,367.52,921.56,-0.125250312891114,-2.65302811532047,919.35,-2.78466976411723
387.5,915,0.124812265331665,-3.04378341672623,387.5,919.75,0.124812265331665,-2.76084322134858,915.58,-3.0092349297117
407.46,914.87,0.374624530663329,-3.05152704312604,407.43,916.27,0.374249061326658,-2.96813414343578,910.47,-3.31361901358112
427.45,909.99,0.624812265331665,-3.3422108649035,427.41,910.16,0.624311639549437,-3.33208458422683,905.47,-3.61145079818918
467.38,904.89,1.12456195244055,-3.64599928520371,467.46,890.38,1.12556320400501,-4.51030712413628,895.38,-4.21247533952823
,,,,487.37,882.25,1.37474968710889,-4.99458160590898,,
,,,,507.34,868.75,1.62468710888611,-5.79872742435072,,
,,,,527.34,860.91,1.875,-6.26572766261616,,
